id, name, birth_loc, pocc, marriage, lastname
1399,Sturrock Henry,Ballamaney co Antrim,,,Henry
1400,Style Roger and Christopher Colthurst,,,,
1401,Sumner John,,,,John
1402,Sunter James,,,,
1403,Surflen Thomas,,,,Thomas
1404,Sutton David,St Mary the Virgin Dover,,,David
1405,Sutton John,,,,John
1406,Swan Richard,,,,Richard
1407,Swanley George,,,,George
1408,Swanley Richard,,,,Richard
1409,Swanly Richard,,,,
1410,Swanston R.,,,,
1411,Swete Jasper,Ireland,,,Jasper
1412,Swinton Archibald Francis William,St Martin_in_the_Fields London,,,Archibald
1413,Swinton Francis William,,,,
1414,Symonds John,,,,John
1415,Talbert James,,,,James
1416,Talbot William,,,,William
1417,Tanner Nathaniel,,,,Nathaniel
1418,Tarbutt Charles Bryan,Allhallows Barking London,,,Charles
1419,Taylor Robert,,,,Robert
1420,Taylor Thomas,,,,Thomas
1421,Taylor Thomas Rumbold,Kendal,esq,,Thomas
1422,Tebbut Charles,,,,
1423,Tedd John,,,,John
1424,Telfer John Alexander,Broughton Edinburgh,,,John
1425,Templer Henry,Clyst Honiton Devon,,,Henry
1426,Tennant James,,,,James
1427,Tennent George,Carrickfergus co Antrim,,,George
1428,Terrell ?,,,,
1429,Thelwall Richard,,,,Richard
1430,Thomas George,,,,George
1431,Thomas Honoritus Leigh,St Asaph Flints,surgeon,,Honoritus
1432,Thomas James,England,,,James
1433,Thomas Thomas,,,,Thomas
1434,Thomas William,,,,William
1435,Thompson David,,,,
1436,Thompson Ebenezer,,,,Ebenezer
1437,Thompson George,,,,George
1438,Thompson Henry,England,,,Henry
1439,Thomson John,Dailly Ayrshire,writer,,John
1440,Thomson William,,,,William
1441,Thornhill Robert,,,,Robert
1442,Thorowgood Francis,,,,Francis
1443,Thwaites Josiah,,,,Josiah
1444,Ticehurst William,Battle Sussex,,m 30 Jul 1825 Chelmsford= Essex= Sarah Darby= Sarah Ann b 16 May 1826 Augusta bap 30 Mar 1828 William Duke Tiddb 25 Dec 1829 Lewis Frederick bap 25 Jul 1834,William
1445,Tiddeman Edward,,,,Edward
1446,Timbrell Andrew,St Paul's Shadwell London,mariner,,Andrew
1447,Timbrell James,St Paul's Shadwell London,mariner,m 27 Sep 1810 Bombay= Harriet Armstrong= Elizabeth Winterton b 5 Oct 1811= William b 3 Feb 1813= Harriet b 2 Mar 1814 Ellen b 11 Oct 1816,James
1448,Timbrell Thomas,,,,Thomas
1449,Timins Charles S.,,,,
1450,Timins Charles Sheldon,Chatham Kent,,,Charles
1451,Timins John,,,,
1452,Timins John F.,,,,
1453,Tindall Robert,,,,Robert
1454,Tod Alexander,,,,Alexander
1455,Tod James,,,,James
1456,Todd Thomas,Temple Church London,,,Thomas
1457,Tolme David,England,,,David
1458,Tolson Joseph,,,,Joseph
1459,Tolson Thomas,,,,
1460,Torin Rovert,,,,
1461,Totten John,,,,John
1462,Toussaint James,,,,
1463,Toussaint Jeremiah R.J.,,,,
1464,Tovey Zachary,,,,
1465,Towerson Gabriel,,,,Gabriel
1466,Townsend Augustus,,,,Augustus
1467,Tracey Jonas,,,,Jonas
1468,Tremenheere Henry Pendares,,,,
1469,Trimbrell James,,,,
1470,Tryon William,,,,William
1471,Tullis William,,,,William
1472,Turnbull ?,,,,
1473,Turner Nathaniel,St Bride's London,,,Nathaniel
1474,Tweedale James,Montrose,,,James
1475,Tweedy G. H.,,,,
1476,Tween John A.,,,,
1477,Tween John Arman,Ware Herts,,,John
1478,Tyrell Henry,,,,Henry
1479,Tyrie John,,,,John
1480,Upton William,,,,William
1481,Urmston James,,,,James
1482,Utber John,,,,John
1483,Uvedale Henry,,,,Henry
1484,Vaughan William,,,,William
1485,Veitch Robert,,,,Robert
1486,Venner C. M.,,,,
1487,Venner Corbyn Morris,Canongate Edinburgh,,,Corbyn
1488,Venner John,,,,John
1489,Vincent Frederick,,,,Frederick
1490,Vyvyan Abel,St Columb Cornwall,,,Abel
1491,Waddell John,,,,John
1492,Wadham Thomas,,,,Thomas
1493,Waghorn Martin,,,,Martin
1494,Wakefield Thomas,,,,Thomas
1495,Wakeman Henry,,,,Henry
1496,Walker James,,,,James
1497,Walker Thomas,,,,Thomas
1498,Wall Thomas,England,,,Thomas
1499,Wallace William,,,,William
1500,Walpole Richard,,,,Richard
1501,Walton Francis,,,,Francis
1502,Ward B.,,,,
1503,Ward David James,Bengal,,,David
1504,Ward Edward,,,,Edward
1505,Ward James,,,,James
1506,Ward Thomas E.,,,,
1507,Ward Thomas Erasmus,All Saints' Evesham Worcs,,,Thomas
1508,Wardlaw Robert,Kilconquhar East Fife,capt,,Robert
1509,Waring William,,,,William
1510,Warner Richard,,,,Richard
1511,Warner Thomas,,,,Thomas
1512,Watson William,,,,William
1513,Watts Henry,,,,Henry
1514,Watts Thomas,,,,Thomas
1515,Wauchope William,,,,William
1516,Waugh George,,,,George
1517,Way Benjamin,,,,Benjamin
1518,Way James,,,,
1519,Weathrall M. T.,,,,
1520,Webb Daniel,,,,Daniel
1521,Webb John,,,,John
1522,Webb Nicholas,,,,Nicholas
1523,Webber William,,,,
1524,Webber William Jun,,,,
1525,Webster benjamin,,,,
1526,Weddell John,,,,John
1527,Wedderburn Peter,Inveresk East Lothian,,,Peter
1528,Wedgbrough John,,,,John
1529,Welbank Thomas,,,,
1530,Welch David,,,,David
1531,Welladvice Thomas,Woolwich Kent,,,Thomas
1532,Wellbank Robert,,,,
1533,Weller Charles,St Paul's Deptford Kent,malster,,Charles
1534,Wells William,,,,William
1535,Welstead George,St Mary Whitechapel London,,,George
1536,Weltden George,St Petersburg Russia,,,George
1537,West James,,,,James
1538,West William Wade,,,,William
1539,Westcott George,,,,
1540,Westerbane William,,,,William
1541,Weston William,,,,William
1542,Whitaker William,,,,William
1543,White John,Fawkham Kent,rev,,John
1544,White John Jr.,,,,
1545,White Nathaniel,,,,Nathaniel
1546,White Thomas,,,,Thomas
1547,White William Tyron,,,,
1548,Brown Robert,,,,Robert
1549,Whitehead Walter Horrocks,Preston Lanes,,,Walter
1550,Whitehorne William,,,,William
1551,Whiteman John Claremont,,,,
1552,Whitford Richard,,,,Richard
1553,Whyte John Nelson,,,,
1554,Wickham James,,,,James
1555,Wilkie David,,,,David
1556,Wilkinson George,,,,George
1557,Wilkinson Henry Richard,Wandsworth Surrey,,,Henry
1558,Wilkinson Thomas Hutton,Yarm Yorks,,,Thomas
1559,Wilkinson William,Stockton co Durham,,,William
1560,Williams John,,,,John
1561,Williams Richard,,,,Richard
1562,Williams Robert,Loughton Essex,capt,,Robert
1563,Williams Stephen,5th,Charminster of Dorset,m Charlotte dau of Rev Sir Hadley d'Oyly= 5th Bart= rector of Wotton & Felixstowe,Stephen
1564,Williams Thomas,England,,,Thomas
1565,Williamson Edward,,,,Edward
1566,Williamson George,Scotland,timber merchant,,George
1567,Williamson James,,,,James
1568,Williamson John James,,,,
1569,Williamson Richard,,,,Richard
1570,Williamson William,,,,William
1571,Willis Edward,,,,
1572,Wills Matthew,,,,
1573,Willson George,,,,George
1574,Wilson Christopher,,,,Christopher
1575,Wilson Edward,,,,Edward
1576,Wilson Henry,,,,Henry
1577,Wilson James,,,,James
1578,Wilson John Peter,,,,
1579,Wilson Jonathan,,,,Jonathan
1580,Wilson Lestock,England,,,Lestock
1581,Wilson Orlando Hart,,,,Orlando
1582,Wilson Walter,,,,Walter
1583,Wilson William,,,,William
1584,Wimble John,,,,John
1585,Winble John,,,,
1586,Winter James,St Paul's Deptford,gent,,James
1587,Winter Nehemiah,St Andrew's Holborn London,,,Nehemiah
1588,Winter Ralph Farr,,,,Ralph
1589,Winter Thomas,,,,Thomas
1590,Wintersgill John,,,,
1591,Wiseman William,,,,William
1592,Wood George,Sunderland,,,George
1593,Wood John,Greenock Renfrews,,,John
1594,Wood John William,England,,,John
1595,Wood Richard,,,,Richard
1596,Wood Searles,Melton Suffolk,gent,,Searles
1597,Woolmore John,St Mary's Whitechapcl London,,,John
1598,Wordsworth John,St Mary's Cockermouth Cumberland,,,John
1599,Worth Isaac,,,,Isaac
1600,Worth Philip,,,,Philip
1601,Wotton Thomas,,,,Thomas
1602,Wright George,,,,George
1603,Wyche John,,,,John
1604,Wylde Charles,,,,
1605,Wynn John,,,,
1606,Wynne John,,,,
1607,Yates,,,,
1608,Yates Joseph,,,,Joseph
1610,Young James,Berwick_upon_Tweed,,,James
1611,Young John William,Glasgow,,,John
1612,Young Robert,,,,Robert
1613,Young Walter,,,,Walter
1614,Younghusband William,Chatton Northumberland,,,William
1626,Bryant Humphrey,,,,Humphrey
1641,Buchanan John,,,,John
1645,Buchanan Thomas,Perthshire,,,Thomas
1668,Buggin James,,,,James
1677,Bull Samuel,,,,Samuel
1684,Bullock Henry,,,,Henry
1694,Burni Benjamin,St Botolph's pa Aldgate London,,m 27 Mar 1806 Mary; she petitioned Poplar Fund 1818= six children,Benjamin
1706,Burdett Richard,,,,Richard
1707,Burdett Robert,,,,Robert
1711,Burges Henry,St Mark's pa Dublin,rev,,Henry
1715,Burgess Thomas,,,,Thomas
1717,Burgess William,Bishop's Lympton Devon,,,William
1718,Burgh _?_,,,,_?_
1740,Burnett James Burnett,Fordoun Kincardine,,m 21 Feb 1833 Bridgewater= Somerset= June Ash Carter,James
1747,Burnyeat Philip,Lorton Cumberland,,,Philip
1759,Burrish George,,,,George
1767,Burrowes Christopher,,,,Christopher
1768,Burrowes Robert,Ireland,,,Robert
1776,Burt Patrick,,,,Patrick
1778,Burt Patrick Henry,Greenwich,Capt= EICS,,Patrick
1802,Butler Charles william,,,,
1814,Butler Samuel,,,,Samuel
1816,Butler Thomas,Hemingborough Yorks,,,Thomas
1820,Butta Emanuel,,,,Emanuel
1822,Buttanshaw Thomas,West Peckham Kent,,,Thomas
1856,Caise John,,,,John
1857,Calbreath George,,,,George
1878,Camell John,,,,John
1881,Cameron Allan,,,,Allan
1886,Cameron John,Lundaaray Inverness,,,John
1888,Cameron Peter,Fort William Inverness,,,Peter
1890,Campbell Alexander,Keilmoe Scotland,,,Alexander
1893,Campbell Archibald Henry,Madras,,,Archibald
1910,Campbell John,,,,John
1917,Campbell John,,,,John
1922,Campbell Patrick,,,,Patrick
1923,Campbell Peter,Campbeltown Argyle,esq,,Peter
1927,Campbell Walter,Edinburgh,,,Walter
1928,Campbell William,,,,William
1951,Cape Jonathan,,,,Jonathan
1963,Carey Richard,,,,Richard
1981,Carnegie James,Montrose,esq,,James
2000,Beadle Samuel,Erith Kent,,,Samuel
2001,Carr Robert,,,,Robert
2002,Brown Robert,,,,Robert
2003,Campbell John,,,,John
2004,Dalrymple James,Scotland,,,James
2005,Edwards John,,,,John
2006,Grantham Caleb,,,,Caleb
2007,Hall John,Scarborough Yorks,,,John
2008,Hall William,,,,William
2009,Hambly William,,,,
2010,Hamilton William,London,merchant,,William
2011,Hay James,,,,James
2012,Hide Jonathan jr.,,,,
2013,Hindman Thomas,,,,Thomas
2014,Hudson Robert,Sunning Berks,,,Robert
2015,Hudson Robert,Sunning Berks,,,Robert
2016,Hutchinson William,,,,William
2017,Johnson James,,,,James
2018,Lennox Charles,England,,,Charles
2019,Lewin Richard,,,,Richard
2020,Lloyd John,,,,John
2021,Mackintosh John,Glasgow,,,John
2024,Musgrave Thomas,,,,Thomas
2025,Nash James,,,,James
2026,Nelly Francis,,,,Francis
2027,Price John,,,,John
2028,Price John,,,,John
2029,Price Thomas,Dolevelin Brecon,,,Thomas
2030,Price Thomas,Dolevelin Brecon,,,Thomas
2031,Rogers John,England,,,John
2032,Rogers John,England,,,John
2033,Scott Robert,,,,Robert
2034,Simson George,,,,
2035,Smith John,,,,John
2036,Smith Joseph,Scotland,,,Joseph
2037,Smith Kennard,,,,Kennard
2039,Smith William,Ireland,,,William
2040,Stevens John,St Botolph's Cambridge,,,John
2041,Steward Gabriel,,,,Gabriel
2042,Stewart John,Scotland,,,John
2043,Sutton David,St Mary the Virgin Dover,,,David
2044,Walker Thomas,,,,Thomas
2045,Wells William,,,,William
2046,Wilson Henry,,,,Henry
2047,Wilson William,,,,William
2048,Winter Thomas,,,,Thomas
2060,Castleton Samuel,,,,Samuel
2067,Catline William,,,,William
2068,Cattin William,,,,William
2076,Caulier John,,,,John
2110,Chamblet Samuel,,,,Samuel
2111,Chambr James,,,,James
2124,Chapman Alfred,Wanstead Essex,,m 20 Jul 1824 St Marylebone= London= Caroline dau of Sir Francis Workman McNaghten= Kt= Letitia Maria b 14 Jun 1825= Alfred Daniel b 22 May 1827= Francis Steuartb 3 Aug 1829= Edmund Henry b 14 May 1831= William Hay b 25 Sep 1832,Alfred
2128,Chapman Henry Cleaver,,,,Henry
2140,Charlton William,,,,William
2143,Charritie John,West Indies,,,John
2150,Chatfield Allen,England,,,Allen
2154,Chauvet David,,,,David
2155,Cheap Thomas,,,,Thomas
2167,Cheyne Francis,,,,Francis
2169,Chick Edward Lord,,,,Edward
2181,Chisholm Charles,,,,Charles
2195,Christian Edward,,,,Edward
2200,Christie Charles,Baltimore America,,,Charles
2205,Christopher Henry,Limehouse Stepney London,,m 9 Aug 1798 St Botolph Aldgate= London= Jane Olivia Buddle= of Shadwell Henry John Harrison b 23 Feb 1808,Henry
2206,Christopher John,,,,John
2209,Chrystie Alexander,Newburn Fife,,m Anne= Margaret b 20 Oct 1828= John Alexander b 27 Jul 1830,Alexander
2211,Churchill Henry,England,,,Henry
2221,Clapham Thomas,,,,Thomas
2230,Clark Charles,,,,Charles
2238,Clarke John,,,,John
2241,Clark Thomas,,,,Thomas
2257,Clarke Daniel,,,,Daniel
2264,Clarke John,,,,John
2286,Clarke William,,,,William
2290,Clarkson Joseph,England,,,Joseph
2311,Clements John,,,,John
2317,Clevenger Charles,,,,Charles
2320,Cliff Henry,,,,Henry
2323,Clifford Richard,Monthrath Queen's co Ireland,,,Richard
2329,Clifton William,,,,William
2356,Coates Thomas,,,,Thomas
2358,Coatsworth Charles,,,,Charles
2359,Cobb Henry,England,,,Henry
2361,Cobham Stephen,,,,Stephen
2362,Cobreth William,,,,William
2383,Coggan Francis William John,,,,Francis
2398,Cole John Richard,,,,John
2422,Collett Jonathan,,,,Jonathan
2424,Collett Pitt,St Anne's Soho London,,,Pitt
2425,Collett Thomas,,,,Thomas
2435,Collier Joseph,,,,Joseph
2448,Collins John,,,,John
2451,Collins Lorenzo,,,,Lorenzo
2458,Colnett Richard,Plymouth,,,Richard
2467,Colthurst Christopher,,,,Christopher
2480,Compton Thomas,,,,Thomas
2481,Compton William,,,,William
2487,Congreve Ralph,,,,Ralph
2492,Connis John,,,,John
2498,Consett John,,,,John
2500,Constable John,,,,John
2514,Cook or Cooke John,,,,or
2516,Cook Richard,,,,Richard
2517,Cook Thomas,,,,Thomas
2518,Cook William,,,,William
2526,Cooke Edmund,,,,Edmund
2528,Cooke George,,,,George
2547,Cooper Allen,,,,Allen
2549,Cooper E,,,,E
2578,Corbyn Joseph,,,,Joseph
2588,Corner Isaac,,,,Isaac
2589,Corner John,England,,,John
2614,Cotton Charles Bowland,St Olave Hart St London,,,Charles
2616,Cotton John,,,,John
2617,Cotton Joseph,,,,Joseph
2631,Court Jonathan,,,,Jonathan
2632,Court Matthew,,,,Matthew
2635,Court Thomas,,,,Thomas
2638,Courthope Nathaniel,,,,Nathaniel
2663,Cowles Jacob,England,,,Jacob
2669,Cowper George,England,,,George
2683,Coxon John,,,,John
2684,Coxwell Edward,Bibury Glos,,m 1 Jan 1785 St Martin_in_the_Fields= London= Letitia Inge,Edward
2685,Coxwell James,pa St George's Hanover Sq London,,,James
2687,Coytmore Rowland,,,,Rowland
2688,Crabb James George,St Mary's= Islington= London,,,James
2689,Crabb Richard,,,,Richard
2690,Craddock John,,,,John
2703,Craig John,,,,John
2704,Craig Milliken,Bleach Field Linlithgow,,,Milliken
2707,Craigie John,,,,John
2719,Cranstoun John,Scotland,,,John
2747,Cresswell Francis,Charlton Kent,,,Francis
2749,Cribb John,,,,John
2755,Crichton James,Dalkeith Midlothian,merchant,,James
2758,Crichton Thomas,,,,Thomas
2764,Cristall John,,,,John
2772,Cromartie James,,,,James
2783,Cross John,,,,John
2794,Crowder William,England,,,William
2811,Cruikshank or Cruickshank John,TurrifT Aberdeens,,,or
2813,Cruikshank William,in Scotland,,,William
2840,Cumberlege John Altham,St Gregory nr St Paul's London,,,John
2842,Cumine Adam,St Andrews Fife,,,Adam
2844,Cumming or Coming Alexander,Shetland Isles,,,or
2846,Cumming or Cuming Edward,,,,or
2848,Cumming or Cuming George,,,m Susanna Dun,or
2855,Cummings Robert,,,,Robert
2856,Cummings Robert,,,,Robert
2879,Curling Robert,,,,Robert
2888,Curtis Anthony,,,,Anthony
2889,Curtis George,England,,,George
2899,Cush Nathaniel,,,,Nathaniel
2910,D'Abbadie Francis,,,,Francis
2920,Dale James,,,,James
2925,Dale John,,,,John
2939,Dalrymple James,Scotland,,,James
2942,Dalrymple Robert Stair,North Berwick Haddington,,,Robert
2943,Dalrymple William Henry Clare,,,,
2951,Dampier Edward,,,,Edward
2952,Dance Nathaniel,,,,Nathaniel
2962,Daniell Edward Maxwell,St Marylebone London,esq,m 21 Jul 1825 St James= Westminster= Emma Isabella Ferrers= Emma Christian bap 1 Jun 1826= Edward James b 29 Dec 1827= Frances Aurora b 21 Feb 1830= Eliza Georgina b 19 Dec 1831= Lindsey Harrison b 23 Dec 1833= Helen Mary Ann b 21 Dec 1834,Edward
2992,D'Auvergne Philip,,,,Philip
3010,Davidson John,,,,John
3058,Davis William James,England,,,William
3069,Dawes Abraham,,,,Abraham
3074,Dawkins Jeremiah,Llanelly Carmarthen,,,Jeremiah
3076,Dawney Thomas,Aylesbury Bucks,,,Thomas
3100,Deane Charles,,,,Charles
3110,Debuke Thomas,,,,Thomas
3128,Delafons Thomas,,,,Thomas
3143,Dempster John Hamilton,,,,John
3154,Dennett Thomas,,,,Thomas
3155,Dennis Benjamin,,,,Benjamin
3157,Dennis John,England,,,John
3163,Dennison Robert,,,,Robert
3166,Dennison William,,,,William
3168,Denny George,England,,m 20 Nov 1828 Calcutta= Catherine Helen Todd,George
3172,Denton Thomas,England,,,Thomas
3182,D'Esterre William Parker,Ireland,,,William
3183,Dethick Thomas,,,m Elizabeth,Thomas
3196,Dewar James,,,,James
3215,Dickenson Henry,,,,Henry
3246,Dixon George,,,,George
3262,Dobree John,St Peter Port Guernsey,,,John
3268,Dodds Luke,Jarrow co Durham,,,Luke
3279,Dominicus Abraham,,,,Abraham
3290,Donaldson William,Aberdeenshire,,,William
3304,Dorien or Dorin Joseph,England,,,or
3307,Dormer Thomas,Lambourn Berks,,,Thomas
3313,Dorrill or Dorrell Richard,,,,or
3314,Dorrill Robert,,,,Robert
3325,Douglas George,,,,George
3334,Douglas Peter,,,,Peter
3351,Doves Cobham,,,,Cobham
3353,Doveton John Richard Frederick,St Helena,factor,,John
3381,Downton Nicholas,,,,Nicholas
3391,Drake James J,,,,James
3394,Drake Richard,,,,Richard
3412,Driver Thomas,,,,Thomas
3414,Drummond Adam,Scotland,,,Adam
3415,Drummond Andrew,Scotland,,,Andrew
3416,Drummond Charles,Scotland,,,Charles
3425,Drummond Robert,,,,Robert
3442,Dudman Joseph,St Paul's Deptford,shipbuilder,m 18 Jul 1818 Llandygwydd= Cardigan= Catherine Welladvice Shirreff Lumsden Shirreff b 13 Sep 1819,Joseph
3450,Duffield Henry,,,,Henry
3452,Duffin Robert,,,,Robert
3457,Dumbleton Thomas,East Horsley Surrey,,,Thomas
3466,Dunbar William Henry,Wick,Capt,,William
3484,Dundas Charles,Alloa Scotland,,,Charles
3485,Dundas George,Toulouse France,,,George
3486,Dundas James,,,,James
3488,Dundas Philip,Scotland,,,Philip
3489,Dundas Ralph,,,,Ralph
3491,Dunkin Thomas,Penzance Madron Cornwall,,m 18 Dec 1834 Bude= Cornwall= Susan Noel Edwards,Thomas
3492,Dunlop Anthony,,,,Anthony
3493,Dunlop David,Scotland,,,David
3511,Dunsford William,Tiverton Devon,,,William
3515,Durand John,,,,John
3545,Earle William,,,,William
3550,Eastabrooke John,England,,,John
3551,Eastfield William John,St Dunstan's Stepney Middx,shipwright,,William
3569,Eckford John,Dunfermline,,,John
3580,Edgecumbe Leonard,,,,Leonard
3588,Edmeades William,Nursted Kent,,,William
3605,Edwards James,St Olave's Southwark London,brandy merchant,,James
3606,Edwards John,,,,John
3607,Edwards John,,,,John
3610,Edwards Lewis Owen,Christleton Cheshire,,,Lewis
3614,Edwards Richard,England,,,Richard
3627,Egerton William,,,,William
3628,Eggleston C,,,,C
3630,Eglinton Anthony,,,,Anthony
3633,Eilbreck B,,,,B
3644,Elkington James,England,,,James
3645,Elkington Thomas,,,,Thomas
3654,Elliot or Elliott Joseph,,,,or
3673,Ellis Edward Smith,St Mary's pa Castlegate York,,,Edward
3688,Elliston Edmund,,,,Edmund
3689,Elliston Edward,,,,Edward
3692,Elmore Henry Mathias,,,,Henry
3698,Ephinstone Wiliam,,,,
3701,Elsmore John,,,,John
3732,Erwin George,,,,George
3735,Esplin John,Edinburgh,merchant,,John
3745,Evans Arthur,,,,Arthur
3754,Evans John,Neath Glamorgan,,,John
3771,Everest Roger Barnston,,,,Roger
3784,Eyles James,England,,,James
3786,Eymout John,,,,John
3798,Fairfax James,England,,,James
3799,Fairfax William,St Helen's pa Worcester,,,William
3801,Fairfull Robert,England,,,Robert
3805,Faith William,,,,William
3807,Dalrymple James,Scotland,,,James
3829,Farquharson James,Sampford Hall Essex,,,James
3836,Farrer Henry,Yorkshire,,,Henry
3839,Farrer William Ward,St Stephen's Walbrook London,,,William
3842,Farrington Richard Atherton,England,,,Richard
3843,Farrington or Farington William,England,mariner,,or
3863,Fea Peter,,,,Peter
3872,Fearon James Peter,London,,,James
3884,Fellers John H,,,,John
3887,Fellows William Dorset,at sea,,,William
3891,Fenn Bernard,,,,Bernard
3897,Fenner Parsons,,,,Parsons
3917,Fergusson Benjamin,,,,Benjamin
3919,Fernell William,,,,William
3930,Fewson Thomas,,,,Thomas
3941,Field Thomas,,,,Thomas
3942,Field Timothy,,,,Timothy
3960,Finnie William Hamilton,St Marylebone London,,,William
3961,Fiott Edward,,,,Edward
3966,Fisher Benjamin,,,,Benjamin
3968,Fisher Francis,,,,Francis
3979,Fisher Robert,,,,Robert
3981,Fisher Thomas,,,,Thomas
3995,FitzHugh William,,,,William
4005,Fletcher Sir Henry,,,created Baronet 20 May 1782= d 29 Mar 1807 m 20 Oct 1768 Catherine dau of John Lintot of Southwater= Sussex,Sir
4018,Flower John,,,,John
4024,Fogo Alexander,Logie Scotland,,,Alexander
4032,Foord Edward,St Mary's Rotherhithe,ropemaker,,Edward
4033,Foot John,,,,John
4041,Forbes George,Edinburgh,,,George
4046,Forbes James Keith,Scotland,,,James
4053,Ford Henry William,,,,Henry
4075,Forrest Thames,,,,Thames
4077,Forrester Bernard,,,,Bernard
4087,Fortescue Francis,,,,Francis
4103,Foster James,,,,James
4107,Foster William,,,,William
4109,Fotheringham Alexander,,,,Alexander
4110,Foubister Peter,,,,Peter
4115,Foulis Charles,,,,Charles
4117,Foulkes John Davy,,,,John
4118,Fowler Francis,,,,Francis
4124,Fowler Robert Cook,Dissenters' Meeting Yarmouth,esq,,Robert
4128,Fox Gilson Reeves,St Mary's Bow Middx,,,Gilson
4131,Fox John,England,,m 5 Jul 1788 St George's Hanover Sq= London= Ann Stairbank,John
4138,Foxall Thomas,,,,Thomas
4140,Foy James,Dublin,,,James
4154,Francis William,St Clement's Cambridge,,,William
4159,Francklin or Franklin Richard,St James' Piccadilly London,,,or
4164,Franklin John,,,,John
4166,Franklin John Robinson,Windsor Nova Scotia,,,John
4177,Fraser Hugh,Scotland,,,Hugh
4182,Fraser John,,,,John
4183,Fraser William,Scotland,,,William
4185,Frayer James,,,,James
4192,Freeman Fielder,,,,Fielder
4195,Freeman John,,,,John
4206,Freke William,,,,William
4219,Frognall Phineas,,,,Phineas
4220,Frognall Thomas,,,,Thomas
4262,Gaillard or Galliard Frederick,France,,,or
4268,Gale John,Love Lane Shadwell Middx,,,John
4282,Gallon John,,,,John
4286,Galloway _?_,,,,_?_
4291,Gamage William Dick,Canterbury,,,William
4308,Gardiner Henry,,,,Henry
4310,Gardiner Martin,,,,Martin
4311,Gardiner Patrick,,,,Patrick
4330,Garnault Joseph,Christ Church Middx,,,Joseph
4359,Gayer John,,,,John
4374,Gelston William,,,,William
4384,Gerrard John,,,,John
4388,Gib Colin,,,,Colin
4434,Gifford WillIAM,,,,
4436,Gilbert Charles,,,,Charles
4445,Gilbert Thomas,,,,Thomas
4478,Gilmore John,,,,John
4480,Gilmore Mungo,,,,Mungo
4483,Gilpin Thomas,pa Christ Church Surrey,,,Thomas
4500,Glasspoole Richard,Blunderston Suffolk,,,Richard
4501,Gladstones Albert,Dublin,,,Albert
4504,Glegg Henry,,,,Henry
4513,Glover Alphonse,,,,Alphonse
4521,Godfrey Benjamin,,,,Benjamin
4522,Godfrey Edward,,,,Edward
4555,Gooch George,Yarmouth Norfolk,,,George
4558,Goodall Bartholomew,,,,Bartholomew
4565,Goodfellow John,,,,John
4572,Goodlad William,,,,William
4575,Goodman Samuel,,,,Samuel
4580,Goodsole John,,,,John
4589,Gordon Charles,,,,Charles
4600,Gordon John,,,,John
4606,Gordon Peter,,,,Peter
4610,Gordon William,,,,William
4613,Gordon William,,,,William
4614,Gore Arthur,,,,Arthur
4621,Gosfright Richard,,,,Richard
4624,Gosnall Benjamin,,,,Benjamin
4627,Gostlin Francis,,,,Francis
4633,Gough Charles,11th,Sir= MP of Perry Hall staff,,Charles
4635,Gough Henry,,,,Henry
4658,Gowland Benjamin,,,,Benjamin
4665,Graham Charles,Cameron Fifeshire,,m 2 Jan 1805 St Pancras= London= Jane Brown Charles b 11 Dec 1805= John b 6 May 1808= William Henry b 1 Jul 1810= Margaret b 14 Jul 1813= James b 5 May 1817= Katharine b 5 Oct 1821,Charles
4688,Graham Thomas,,,,Thomas
4694,Grainger Richard,,,,Richard
4713,Grant James Ludovic,,,,James
4722,Grant Peter,St Cuthbert's pa Edinburgh,junior writer,,Peter
4728,Grantham Caleb,,,,Caleb
4729,Grantham Caleb,,,,Caleb
4730,Grantham Nathaniel,,,,Nathaniel
4731,Grantham Sir Thomas,,,,Sir
4745,Gray Alexander,Scotland,,,Alexander
4748,Gray George,Portsoy Banffshire,,,George
4762,Green Abraham,,,m 17 Apr 1800 St Pancras= London= Sarah Griffiths (she re_m 24 Nov 1807 Ramsden Cray= Essex= James Wrigglesworth),Abraham
4786,Greenway William Brown,,,,William
4789,Greer William,,,,William
4790,Gregory Chalres,,,,
4806,Grey Robert,Harbourgrace Conception Bay Newfoundland,,,Robert
4810,Gribble Charles Besly,Barnstaple Devon,,m 22 Sep 1802 Barnstaple= Devon= Mary Ann Baker Henry b 7 Mar 1804 Charles Besly b 6 Jul 1807 Ellen Cuthbert b 25 May 1814 Catherine Rose b 24 Apr 1817 Emily Eva b 27 Apr 1819,Charles
4812,Gribble Henry,Cross St Chapel Barnstaple Devon,,,Henry
4817,Grieve Andrew,Enfield Middx,,,Andrew
4824,Griffin John,,,,John
4856,Grote Joseph,,,,Joseph
4860,Grove Philip,,,,Philip
4866,Grueber Henry,,,,Henry
4870,Guise John,,,,John
4914,Haddock Joseph,,,,Joseph
4924,Haggis Charles,,,,Charles
4928,Haig James,,,,James
4932,Haig William,Alloa,,,William
4942,Haldane James,,,,James
4944,Haldane John,Auchterarder Perthshire,,,John
4946,Haldane Robert,,,,Robert
4953,Hale Roger,,,,Roger
4963,Halkett Henry,Pitfern Fife,,,Henry
4978,Hall John,Scarborough Yorks,,,John
4983,Hall John,Scarborough Yorks,,,John
4993,Hall Joseph,,,,Joseph
4997,Hall Richard,,,,Richard
4999,Hall Sampson,England,,,Sampson
