Subject, Count,Agriculture,Colonies,Commerce,Fifteenth Century,finance,general,Miscellaneous,politics,Trades and Manufactures ,social conditions,transport
Miscellaneous Barnardiston| Samuel,1,,,,,,,,,,,
Miscellaneous Bees,1,,,,,,,,,,,
Miscellaneous Beverages,1,,,,,,,,,,,
Miscellaneous Bible,1,,,,,,,,,,,
Miscellaneous Blasphemy,1,,,,,,,,,,,
Miscellaneous Bridgeman| Orlando,1,,,,,,,,,,,
Miscellaneous Building laws,1,,,,,,,,,,,
Miscellaneous Burial laws,1,,,,,,,,,,,
Miscellaneous Burnet| Gilbert,1,,,,,,,,,,,
Miscellaneous Business ethics,1,,,,,,,,,,,
Miscellaneous Businessmen,1,,,,,,,,,,,
Miscellaneous Carew| George,1,,,,,,,,,,,
Miscellaneous Catholic Church,6,,,,,,,,,,,
Miscellaneous Catholics,1,,,,,,,,,,,
Miscellaneous Charles,2,,,,,,,,,,,
Miscellaneous Charteris| Francis,6,,,,,,,,,,,
Miscellaneous Christian life,3,,,,,,,,,,,
Miscellaneous Christianity,2,,,,,,,,,,,
Miscellaneous Christianity and law,1,,,,,,,,,,,
Miscellaneous Church and state,3,,,,,,,,,,,
Miscellaneous Church lands,1,,,,,,,,,,,
Miscellaneous Church maintenance and repair,2,,,,,,,,,,,
Miscellaneous Church of England,13,,,,,,,,,,,
Miscellaneous Church of Scotland,4,,,,,,,,,,,
Miscellaneous City of London (England),7,,,,,,,,,,,
Miscellaneous Civil law,1,,,,,,,,,,,
Miscellaneous Claxton| Laurence,1,,,,,,,,,,,
Miscellaneous Clewer| William,2,,,,,,,,,,,
Miscellaneous Clothing and dress,1,,,,,,,,,,,
Miscellaneous Clothing trade,1,,,,,,,,,,,
Miscellaneous Coffee,2,,,,,,,,,,,
Miscellaneous Commissions of array,1,,,,,,,,,,,
Miscellaneous Concord,1,,,,,,,,,,,
Miscellaneous Conduct of life,2,,,,,,,,,,,
Miscellaneous Consanguinity,1,,,,,,,,,,,
Miscellaneous Constables,2,,,,,,,,,,,
Miscellaneous Conveyancing,1,,,,,,,,,,,
Miscellaneous Coppe| Abiezer,1,,,,,,,,,,,
Miscellaneous Coronations,1,,,,,,,,,,,
Miscellaneous Coroners,2,,,,,,,,,,,
Miscellaneous Corporation law,1,,,,,,,,,,,
Miscellaneous Cottington| Angela Margarita,1,,,,,,,,,,,
Miscellaneous Cottington| Charles,1,,,,,,,,,,,
Miscellaneous County courts,1,,,,,,,,,,,
Miscellaneous Courts,2,,,,,,,,,,,
Miscellaneous Courts baron and courts leet,1,,,,,,,,,,,
Miscellaneous Cranford| James,1,,,,,,,,,,,
Miscellaneous Criminal justice| Administration of,1,,,,,,,,,,,
Miscellaneous Currency question,3,,,,,,,,,,,
Miscellaneous Customs administration,1,,,,,,,,,,,
Miscellaneous Death,1,,,,,,,,,,,
Miscellaneous Debt| Imprisonment for,1,,,,,,,,,,,
Miscellaneous Deism,1,,,,,,,,,,,
Miscellaneous Dispensations (Canon law),1,,,,,,,,,,,
Miscellaneous Dispensations (Canon laws),1,,,,,,,,,,,
Miscellaneous Dissenters| Religious,3,,,,,,,,,,,
Miscellaneous Douglas| Andrew,1,,,,,,,,,,,
Miscellaneous Duke of Anjou's succession considered as to its legality and consequences,1,,,,,,,,,,,
Miscellaneous Dutch War| 1672-1678,4,,,,,,,,,,,
Miscellaneous Edinburgh (Scotland),1,,,,,,,,,,,
Miscellaneous Edwards| Thomas,1,,,,,,,,,,,
Miscellaneous Elections,1,,,,,,,,,,,
Miscellaneous England,3,,,,,,,,,,,
Miscellaneous England and Wales,34,,,,,,,,,,,
Miscellaneous English drama (Comedy),1,,,,,,,,,,,
Miscellaneous English essays,4,,,,,,,,,,,
Miscellaneous English language,2,,,,,,,,,,,
Miscellaneous Episcopacy,1,,,,,,,,,,,
Miscellaneous Equity pleading and procedure,1,,,,,,,,,,,
Miscellaneous Europe,1,,,,,,,,,,,
Miscellaneous Fables| English,1,,,,,,,,,,,
Miscellaneous Fasts and feasts,13,,,,,,,,,,,
Miscellaneous Finance| Public,2,,,,,,,,,,,
Miscellaneous Fires,5,,,,,,,,,,,
Miscellaneous Flags,1,,,,,,,,,,,
Miscellaneous Forgiveness of sin,1,,,,,,,,,,,
Miscellaneous Fowler| Edward,1,,,,,,,,,,,
Miscellaneous France,1,,,,,,,,,,,
Miscellaneous Free will and determinism,1,,,,,,,,,,,
Miscellaneous Freedom of religion,1,,,,,,,,,,,
Miscellaneous Freedom of the press,2,,,,,,,,,,,
Miscellaneous Gambling,1,,,,,,,,,,,
Miscellaneous Games of chance (Mathematics),1,,,,,,,,,,,
Miscellaneous George,1,,,,,,,,,,,
Miscellaneous God,3,,,,,,,,,,,
Miscellaneous Godolphin| John,2,,,,,,,,,,,
Miscellaneous Goodwin| John,1,,,,,,,,,,,
Miscellaneous Gordon| James,2,,,,,,,,,,,
Miscellaneous Grand Alliance| War of the| 1689-1697,1,,,,,,,,,,,
Miscellaneous Great Britain,43,,,,,,,,,,,
Miscellaneous Gresham College,1,,,,,,,,,,,
Miscellaneous Hampden| John,1,,,,,,,,,,,
Miscellaneous Haversham| John Thompson,1,,,,,,,,,,,
Miscellaneous Helmont| Franciscus Mercurius van,1,,,,,,,,,,,
Miscellaneous Henry,1,,,,,,,,,,,
Miscellaneous Heylyn| Peter,1,,,,,,,,,,,
Miscellaneous Hickeringill| Edmund,1,,,,,,,,,,,
Miscellaneous Hoadly| Benjamin,1,,,,,,,,,,,
Miscellaneous Hody| Humphrey,1,,,,,,,,,,,
Miscellaneous Huguenots,1,,,,,,,,,,,
Miscellaneous Hunt| Thomas,1,,,,,,,,,,,
Miscellaneous Hydrostatics,1,,,,,,,,,,,
Miscellaneous Indulgences,1,,,,,,,,,,,
Miscellaneous Industrial arts,1,,,,,,,,,,,
Miscellaneous Insurance| Fire,1,,,,,,,,,,,
Miscellaneous Ireland,1,,,,,,,,,,,
Miscellaneous Judgment Day,1,,,,,,,,,,,
Miscellaneous Justices of the peace,1,,,,,,,,,,,
Miscellaneous Justice| Administration of,2,,,,,,,,,,,
Miscellaneous Knollys peerage claim,1,,,,,,,,,,,
Miscellaneous La Hogue| Battle of| 1692,1,,,,,,,,,,,
Miscellaneous Lambert| John,1,,,,,,,,,,,
Miscellaneous Lancashire (England),1,,,,,,,,,,,
Miscellaneous Land tenure,1,,,,,,,,,,,
Miscellaneous Latin language,1,,,,,,,,,,,
Miscellaneous Leather industry and trade,1,,,,,,,,,,,
Miscellaneous Legal documents,1,,,,,,,,,,,
Miscellaneous Legitimacy of governments,1,,,,,,,,,,,
Miscellaneous Letter to a member of Parliament concerning the four regiments commonly called Mariners,1,,,,,,,,,,,
Miscellaneous Levellers,2,,,,,,,,,,,
Miscellaneous Lewes| Thomas,1,,,,,,,,,,,
Miscellaneous Liberty of conscience,1,,,,,,,,,,,
Miscellaneous London (England),19,,,,,,,,,,,
Miscellaneous Longitude,1,,,,,,,,,,,
Miscellaneous Lotteries,1,,,,,,,,,,,
Miscellaneous Loyalty oaths,1,,,,,,,,,,,
Miscellaneous Macclesfield| Charles Gerard,2,,,,,,,,,,,
Miscellaneous Manners and customs,1,,,,,,,,,,,
Miscellaneous Marines,1,,,,,,,,,,,
Miscellaneous Maritime law,1,,,,,,,,,,,
Miscellaneous Markets,1,,,,,,,,,,,
Miscellaneous Marriage customs and rites,1,,,,,,,,,,,
Miscellaneous Mary,1,,,,,,,,,,,
Miscellaneous Massacres,1,,,,,,,,,,,
Miscellaneous Maynwaring| Arthur,1,,,,,,,,,,,
Miscellaneous Merke| Thomas,1,,,,,,,,,,,
Miscellaneous Military art and science,1,,,,,,,,,,,
Miscellaneous Missions,1,,,,,,,,,,,
Miscellaneous Moderation,1,,,,,,,,,,,
Miscellaneous Monetary policy,1,,,,,,,,,,,
Miscellaneous Money,1,,,,,,,,,,,
Miscellaneous Municipal government,1,,,,,,,,,,,
Miscellaneous Natural law,1,,,,,,,,,,,
Miscellaneous Natural theology,2,,,,,,,,,,,
Miscellaneous Netherlands,1,,,,,,,,,,,
Miscellaneous Newfoundland and Labrador,1,,,,,,,,,,,
Miscellaneous Nonjurors,1,,,,,,,,,,,
Miscellaneous Nottingham (England),1,,,,,,,,,,,
Miscellaneous Oakeford| James,1,,,,,,,,,,,
Miscellaneous Oaths,1,,,,,,,,,,,
Miscellaneous Omnia comesta ’_ Belo,1,,,,,,,,,,,
Miscellaneous Ormonde| James Butler,1,,,,,,,,,,,
Miscellaneous Pageants,1,,,,,,,,,,,
Miscellaneous Papillon| Thomas,1,,,,,,,,,,,
Miscellaneous Patronage| Ecclesiastical,3,,,,,,,,,,,
Miscellaneous Pery| John,1,,,,,,,,,,,
Miscellaneous Philadelphian Society (London| England),1,,,,,,,,,,,
Miscellaneous Pillage,1,,,,,,,,,,,
Miscellaneous Pirates,1,,,,,,,,,,,
Miscellaneous Plague,1,,,,,,,,,,,
Miscellaneous Political satire| English,1,,,,,,,,,,,
Miscellaneous Popish Plot| 1678,1,,,,,,,,,,,
Miscellaneous Press,1,,,,,,,,,,,
Miscellaneous Prophecy (Christianity),1,,,,,,,,,,,
Miscellaneous Protestantism,1,,,,,,,,,,,
Miscellaneous Quakers,1,,,,,,,,,,,
Miscellaneous Religious gatherings,1,,,,,,,,,,,
Miscellaneous Rome (Italy),1,,,,,,,,,,,
Miscellaneous Royal houses,1,,,,,,,,,,,
Miscellaneous Russia,1,,,,,,,,,,,
Miscellaneous Sadler| John,1,,,,,,,,,,,
Miscellaneous Sailors,4,,,,,,,,,,,
Miscellaneous Saint Giles in the Fields Parish Church (London| England),1,,,,,,,,,,,
Miscellaneous Sancroft| William,1,,,,,,,,,,,
Miscellaneous Saving and investment,1,,,,,,,,,,,
Miscellaneous Scaliger| Joseph Juste,1,,,,,,,,,,,
Miscellaneous Schism,1,,,,,,,,,,,
Miscellaneous Scotland,2,,,,,,,,,,,
Miscellaneous Scrofula,1,,,,,,,,,,,
Miscellaneous Searches and seizures,2,,,,,,,,,,,
Miscellaneous Sharp| John,1,,,,,,,,,,,
Miscellaneous Sheriffs,4,,,,,,,,,,,
Miscellaneous Sherlock| William,3,,,,,,,,,,,
Miscellaneous Simony (Canon law),1,,,,,,,,,,,
Miscellaneous Sin,1,,,,,,,,,,,
Miscellaneous Skippon| Philip,1,,,,,,,,,,,
Miscellaneous Smith| Thomas,2,,,,,,,,,,,
Miscellaneous Societies for the Reformation of Manners,1,,,,,,,,,,,
Miscellaneous Society of Friends,2,,,,,,,,,,,
Miscellaneous Solitude,1,,,,,,,,,,,
Miscellaneous Somers| John Somers,2,,,,,,,,,,,
Miscellaneous Soul,1,,,,,,,,,,,
Miscellaneous South Sea Company,3,,,,,,,,,,,
Miscellaneous Sovereign of the Seas (Ship),1,,,,,,,,,,,
Miscellaneous Spain,1,,,,,,,,,,,
Miscellaneous Spanish Succession| War of| 1701-1714,1,,,,,,,,,,,
Miscellaneous St. Leger de Bacalan| Thomas,1,,,,,,,,,,,
Miscellaneous St. Mary Woolnoth (Church : London| England),2,,,,,,,,,,,
Miscellaneous St. Nicholas| Thomas,1,,,,,,,,,,,
Miscellaneous Standing army,12,,,,,,,,,,,
Miscellaneous Stillingfleet| Edward,1,,,,,,,,,,,
Miscellaneous Stout| Sarah,2,,,,,,,,,,,
Miscellaneous Taxes| Farming of,2,,,,,,,,,,,
Miscellaneous Tea,1,,,,,,,,,,,
Miscellaneous Technology,1,,,,,,,,,,,
Miscellaneous Tenison| Thomas,1,,,,,,,,,,,
Miscellaneous Terms of court,1,,,,,,,,,,,
Miscellaneous Tithes,5,,,,,,,,,,,
Miscellaneous Tombes| Daniel,1,,,,,,,,,,,
Miscellaneous Tranchard| John,1,,,,,,,,,,,
Miscellaneous Trenchard| John,7,,,,,,,,,,,
Miscellaneous Tryon| Thomas,1,,,,,,,,,,,
Miscellaneous University of Cambridge,1,,,,,,,,,,,
Miscellaneous Viner| Robert,1,,,,,,,,,,,
Miscellaneous Voyages| Imaginary,1,,,,,,,,,,,
Miscellaneous Walef| Blaise-Henri de Corte,1,,,,,,,,,,,
Miscellaneous War (Philosophy),1,,,,,,,,,,,
Miscellaneous Wealth,2,,,,,,,,,,,
Miscellaneous Westminster Assembly,1,,,,,,,,,,,
Miscellaneous William,4,,,,,,,,,,,
Miscellaneous Wiseman| Richard,1,,,,,,,,,,,
Miscellaneous Wives,2,,,,,,,,,,,
Miscellaneous Worcester| Battle of| Worcester| England| 1651,1,,,,,,,,,,,
Miscellaneous Work,1,,,,,,,,,,,
Miscellaneous Writ of error,1,,,,,,,,,,,
Politics Abercromby| Patrick,1,,,,,,,,,,,
Politics Algeria,1,,,,,,,,,,,
Politics Allegiance,3,,,,,,,,,,,
Politics Amnesty,2,,,,,,,,,,,
Politics Anglo-Dutch War| 1664-1667,2,,,,,,,,,,,
Politics Anglo-French War| 1666-1667,1,,,,,,,,,,,
Politics Anglo-Spanish War| 1718-1720,1,,,,,,,,,,,
Politics Anstruther| John,3,,,,,,,,,,,
Politics Anstruther| William,1,,,,,,,,,,,
Politics Aphorisms and apothegms,1,,,,,,,,,,,
Politics Appellate procedure,1,,,,,,,,,,,
Politics Apprentices,1,,,,,,,,,,,
Politics Argyll| Archibald Campbell,1,,,,,,,,,,,
Politics Arms and armor,1,,,,,,,,,,,
Politics Atterbury| Francis,1,,,,,,,,,,,
Politics Barrier treaty| 1709,7,,,,,,,,,,,
Politics Barrier-treaty vindicated,1,,,,,,,,,,,
Politics Barton| Nathaniel,1,,,,,,,,,,,
Politics Bristol| George Digby,1,,,,,,,,,,,
Politics Buckingham| George Villiers,1,,,,,,,,,,,
Politics Buckley| Richard,1,,,,,,,,,,,
Politics Burnet| Gilbert,2,,,,,,,,,,,
Politics Burnet| Thomas,1,,,,,,,,,,,
Politics Butler| Mary,1,,,,,,,,,,,
Politics Catholic Church,3,,,,,,,,,,,
Politics Catholics,6,,,,,,,,,,,
Politics Censorship,1,,,,,,,,,,,
Politics Charles,6,,,,,,,,,,,
Politics Church and state,9,,,,,,,,,,,
Politics Church history,1,,,,,,,,,,,
Politics Church of England,3,,,,,,,,,,,
Politics Church of Scotland,2,,,,,,,,,,,
Politics Church renewal,2,,,,,,,,,,,
Politics City of London (England),2,,,,,,,,,,,
Politics Colbert| Jean Baptiste,1,,,,,,,,,,,
Politics Concini| Concino,1,,,,,,,,,,,
Politics Conduct of life,1,,,,,,,,,,,
Politics Congregational churches,1,,,,,,,,,,,
Politics Conspiracies,4,,,,,,,,,,,
Politics Cook| Thomas,1,,,,,,,,,,,
Politics Corporation law,1,,,,,,,,,,,
Politics Craven| William Craven,1,,,,,,,,,,,
Politics Crime and criminals,1,,,,,,,,,,,
Politics Crisp| Nicholas,1,,,,,,,,,,,
Politics Cromwell| Oliver,4,,,,,,,,,,,
Politics Customs administration,1,,,,,,,,,,,
Politics Davenant| Charles,1,,,,,,,,,,,
Politics Davenart| Charles,1,,,,,,,,,,,
Politics Debtor and creditor,1,,,,,,,,,,,
Politics Defoe| Daniel,6,,,,,,,,,,,
Politics Despotism,1,,,,,,,,,,,
Politics Detention of persons,1,,,,,,,,,,,
Politics Dissenters,1,,,,,,,,,,,
Politics Dissenters| Religious,12,,,,,,,,,,,
Politics Divine right of kings,3,,,,,,,,,,,
Politics Drake| James,2,,,,,,,,,,,
Politics Dundas| Robert,1,,,,,,,,,,,
Politics Dunkerque (France),3,,,,,,,,,,,
Politics Dutch War| 1672-1678,6,,,,,,,,,,,
Politics England,8,,,,,,,,,,,
Politics England and Wales,65,,,,,,,,,,,
Politics English merchant,1,,,,,,,,,,,
Politics Episcopacy,1,,,,,,,,,,,
Politics Europe,5,,,,,,,,,,,
Politics European federation,1,,,,,,,,,,,
Politics Examination of The management of the war,1,,,,,,,,,,,
Politics Fairfax| Thomas Fairfax,1,,,,,,,,,,,
Politics Favorites| Royal,1,,,,,,,,,,,
Politics Fens,1,,,,,,,,,,,
Politics Filmer| Robert,1,,,,,,,,,,,
Politics Finance| Public,1,,,,,,,,,,,
Politics Fleetwood| Charles,1,,,,,,,,,,,
Politics Foreign enlistment,1,,,,,,,,,,,
Politics France,10,,,,,,,,,,,
Politics Francia| Francis,1,,,,,,,,,,,
Politics Gadbury| John,1,,,,,,,,,,,
Politics Galway| Henri de Massue,2,,,,,,,,,,,
Politics George,1,,,,,,,,,,,
Politics Godfrey| Edmund Berry,2,,,,,,,,,,,
Politics Government| Resistance to,4,,,,,,,,,,,
Politics Grand Alliance| War of the| 1689-1697,1,,,,,,,,,,,
Politics Great Britain,200,,,,,,,,,,,
Politics Gregg| William,1,,,,,,,,,,,
Politics Grierson| William,1,,,,,,,,,,,
Politics Griffin of Braybrooke| Edward Griffin,1,,,,,,,,,,,
Politics Guinea,1,,,,,,,,,,,
Politics Gyllenborg| Carl,1,,,,,,,,,,,
Politics Hales| Edward,1,,,,,,,,,,,
Politics Halifax| Charles Montagu,1,,,,,,,,,,,
Politics Hamilton| James Hamilton,1,,,,,,,,,,,
Politics Hampden| John,1,,,,,,,,,,,
Politics Harington,1,,,,,,,,,,,
Politics Harrington| James,3,,,,,,,,,,,
Politics Haversham| John Thompson,1,,,,,,,,,,,
Politics Holland (Netherlands : Provinces),1,,,,,,,,,,,
Politics Huguenots,2,,,,,,,,,,,
Politics Insurgency,2,,,,,,,,,,,
Politics Intendants,1,,,,,,,,,,,
Politics International law,2,,,,,,,,,,,
Politics Ireland,14,,,,,,,,,,,
Politics Jacobites,1,,,,,,,,,,,
Politics James,4,,,,,,,,,,,
Politics Judicial error,1,,,,,,,,,,,
Politics Justices of the peace,1,,,,,,,,,,,
Politics Kalmar| Union of| 1397,1,,,,,,,,,,,
Politics Kent (England),1,,,,,,,,,,,
Politics Lambert| John,1,,,,,,,,,,,
Politics Land tenure,2,,,,,,,,,,,
Politics Land titles,2,,,,,,,,,,,
Politics Law,4,,,,,,,,,,,
Politics Law reform,1,,,,,,,,,,,
Politics Leeds| Thomas Osborne,1,,,,,,,,,,,
Politics Legislative journals,2,,,,,,,,,,,
Politics Legitimacy of governments,3,,,,,,,,,,,
Politics Letter from Monsieur *** to Monsieur ***,1,,,,,,,,,,,
Politics Levellers,11,,,,,,,,,,,
Politics Liberty,2,,,,,,,,,,,
Politics Lilburne| John,5,,,,,,,,,,,
Politics Livingston| William,1,,,,,,,,,,,
Politics London (England),5,,,,,,,,,,,
Politics Louisiana,1,,,,,,,,,,,
Politics Loyalty oaths,1,,,,,,,,,,,
Politics Ludlow| Edmund,1,,,,,,,,,,,
Politics Mackenzie| George,1,,,,,,,,,,,
Politics Malt,1,,,,,,,,,,,
Politics Marlborough| John Churchill,6,,,,,,,,,,,
Politics Masaniello,1,,,,,,,,,,,
Politics Massacres,1,,,,,,,,,,,
Politics Massey| Edward,1,,,,,,,,,,,
Politics Maynwaring| Roger,1,,,,,,,,,,,
Politics Mazarin| Jules,1,,,,,,,,,,,
Politics Merchants| Foreign,1,,,,,,,,,,,
Politics Military offenses,1,,,,,,,,,,,
Politics Milton| John,1,,,,,,,,,,,
Politics Mocket| Richard,1,,,,,,,,,,,
Politics Mogul Empire,1,,,,,,,,,,,
Politics Molesworth| Robert Molesworth,1,,,,,,,,,,,
Politics Molyneux| William,3,,,,,,,,,,,
Politics Monarchy,7,,,,,,,,,,,
Politics Montagu| Walter,1,,,,,,,,,,,
Politics Montgomery| James,1,,,,,,,,,,,
Politics Murray| James,1,,,,,,,,,,,
Politics Naples (Kingdom),1,,,,,,,,,,,
Politics Natural law,1,,,,,,,,,,,
Politics Navigation,1,,,,,,,,,,,
Politics Netherlands,12,,,,,,,,,,,
Politics New Caledonia (Colony),1,,,,,,,,,,,
Politics Newark (Nottinghamshire| England),1,,,,,,,,,,,
Politics Nijmegen| Peace of| 1678-1679,1,,,,,,,,,,,
Politics Northumberland| Algernon Percy,1,,,,,,,,,,,
Politics Oaths,1,,,,,,,,,,,
Politics Order of the Garter,1,,,,,,,,,,,
Politics Ormonde| James Butler,1,,,,,,,,,,,
Politics Oxford almanack for the year of our Lord God 1712,1,,,,,,,,,,,
Politics Oxford| Robert Harley,8,,,,,,,,,,,
Politics Pardon,3,,,,,,,,,,,
Politics Parker| Samuel,1,,,,,,,,,,,
Politics Paul| William,1,,,,,,,,,,,
Politics Peace,1,,,,,,,,,,,
Politics Penal laws (against nonconformists),1,,,,,,,,,,,
Politics Penn| William,1,,,,,,,,,,,
Politics Peterborough| Charles Mordaunt,1,,,,,,,,,,,
Politics Political corruption,1,,,,,,,,,,,
Politics Political parties,1,,,,,,,,,,,
Politics Political satire| English,2,,,,,,,,,,,
Politics Political science,12,,,,,,,,,,,
Politics Popish Plot| 1678,18,,,,,,,,,,,
Politics Portugal,1,,,,,,,,,,,
Politics Povey| Charles,1,,,,,,,,,,,
Politics Preaching,1,,,,,,,,,,,
Politics Prerogative| Royal,2,,,,,,,,,,,
Politics Press law,1,,,,,,,,,,,
Politics Price| John,1,,,,,,,,,,,
Politics Prior| Matthew,1,,,,,,,,,,,
Politics Protestants,4,,,,,,,,,,,
Politics Providence and government of God,1,,,,,,,,,,,
Politics Prynne| William,1,,,,,,,,,,,
Politics Public officers,1,,,,,,,,,,,
Politics Quakers,1,,,,,,,,,,,
Politics Religion and law,1,,,,,,,,,,,
Politics Representative government and representation,2,,,,,,,,,,,
Politics Republics,7,,,,,,,,,,,
Politics Ridpath| George,1,,,,,,,,,,,
Politics Riots,1,,,,,,,,,,,
Politics Robert,1,,,,,,,,,,,
Politics Royal supremacy (Church of England),1,,,,,,,,,,,
Politics Royalists,1,,,,,,,,,,,
Politics Rumsey| John,1,,,,,,,,,,,
Politics Sacheverell| Henry,1,,,,,,,,,,,
Politics Scotland,68,,,,,,,,,,,
Politics Seditious libel,3,,,,,,,,,,,
Politics Seizure of vessels and cargoes,1,,,,,,,,,,,
Politics Shaftesbury| Anthony Ashley Cooper,1,,,,,,,,,,,
Politics Sheppard| James,1,,,,,,,,,,,
Politics Sheridan| Thomas,1,,,,,,,,,,,
Politics Sheriffs,1,,,,,,,,,,,
Politics Short history of the convention or new christened Parliament,1,,,,,,,,,,,
Politics Shrewsbury| Charles Talbot,1,,,,,,,,,,,
Politics Smith| Aaron,1,,,,,,,,,,,
Politics Smoke prevention,1,,,,,,,,,,,
Politics Solemn League and Covenant,2,,,,,,,,,,,
Politics South Sea Company,1,,,,,,,,,,,
Politics Spain,5,,,,,,,,,,,
Politics Spanish Succession| War of| 1701-1714,30,,,,,,,,,,,
Politics Statesmen,1,,,,,,,,,,,
Politics State| The,1,,,,,,,,,,,
Politics Stawell| John,1,,,,,,,,,,,
Politics Steele| Richard,3,,,,,,,,,,,
Politics Stewart| John,1,,,,,,,,,,,
Politics Strafford| Thomas Wentworth,1,,,,,,,,,,,
Politics Suffolk| William de la Pole,1,,,,,,,,,,,
Politics Sweden,2,,,,,,,,,,,
Politics Swift| Jonathan,2,,,,,,,,,,,
Politics Taxation,2,,,,,,,,,,,
Politics Test act| 1673,4,,,,,,,,,,,
Politics Thompson| Nathaniel,1,,,,,,,,,,,
Politics Tindal| Matthew,3,,,,,,,,,,,
Politics Tithes,3,,,,,,,,,,,
Politics Toland| John,2,,,,,,,,,,,
Politics Townshend| Charles Townshend,1,,,,,,,,,,,
Politics Translation to heaven,1,,,,,,,,,,,
Politics Treason,2,,,,,,,,,,,
Politics Treaties,1,,,,,,,,,,,
Politics Treaty of Utrecht (1713),4,,,,,,,,,,,
Politics True member of the Church of England,1,,,,,,,,,,,
Politics Utopias,4,,,,,,,,,,,
Politics Vans| Patrick,1,,,,,,,,,,,
Politics Venice (Italy),1,,,,,,,,,,,
Politics Voyages| Imaginary,1,,,,,,,,,,,
Politics Walwyn| William,1,,,,,,,,,,,
Politics War,2,,,,,,,,,,,
Politics Warwickshire (England),1,,,,,,,,,,,
Politics Webster| James,1,,,,,,,,,,,
Politics Whalley| Edward,1,,,,,,,,,,,
Politics Wharton| Thomas Wharton,1,,,,,,,,,,,
Politics Whig Party (Great Britain),4,,,,,,,,,,,
Politics Wiltshire (England),1,,,,,,,,,,,
Politics Winton| George Seton,1,,,,,,,,,,,
Politics Yonge| Walter,1,,,,,,,,,,,
Population Children (Christian theology),1,,,,,,,,,,,
Population Debt| Imprisonment for,1,,,,,,,,,,,
Population Dublin (Ireland),2,,,,,,,,,,,
Population Food supply,1,,,,,,,,,,,
Population London (England),13,,,,,,,,,,,
Population Mortality,7,,,,,,,,,,,
Population Plague,2,,,,,,,,,,,
Population Population,2,,,,,,,,,,,
Population Registers of births| etc.,3,,,,,,,,,,,
Slavery Great Britain,1,,,,,,,,,,,
Slavery Jamaica,1,,,,,,,,,,,
Slavery Kidnapping,1,,,,,,,,,,,
Slavery Prisoners,1,,,,,,,,,,,
Slavery Royal African Company,2,,,,,,,,,,,
Slavery Slave trade,2,,,,,,,,,,,
Slavery Slavery and the church,1,,,,,,,,,,,
Social Conditions,3,,,,,,,,,,,
Social Conditions Abstract of the state of the work-house for maintaining of the poor of the city of Dublin,1,,,,,,,,,,,
Social Conditions Alcoholic beverages,1,,,,,,,,,,,
Social Conditions Alcoholism,1,,,,,,,,,,,
Social Conditions Aliens,1,,,,,,,,,,,
Social Conditions Almshouses,10,,,,,,,,,,,
Social Conditions Anglo-Dutch War| 1664-1667,1,,,,,,,,,,,
Social Conditions Antisemitism,1,,,,,,,,,,,
Social Conditions Apprentices,4,,,,,,,,,,,
Social Conditions Arnold| John,1,,,,,,,,,,,
Social Conditions Assault and battery,1,,,,,,,,,,,
Social Conditions Bailiffs,1,,,,,,,,,,,
Social Conditions Bankruptcy,4,,,,,,,,,,,
Social Conditions Bars (Drinking establishments),1,,,,,,,,,,,
Social Conditions Bowles| Edward,2,,,,,,,,,,,
Social Conditions Brigands and robbers,3,,,,,,,,,,,
Social Conditions Building laws,1,,,,,,,,,,,
Social Conditions Building permits,2,,,,,,,,,,,
Social Conditions Business enterprises| Foreign,1,,,,,,,,,,,
Social Conditions Business ethics,1,,,,,,,,,,,
Social Conditions Calamy| Edmund,1,,,,,,,,,,,
Social Conditions Calvin| Robert,1,,,,,,,,,,,
Social Conditions Cambell| Thomas,1,,,,,,,,,,,
Social Conditions Catholic Church,2,,,,,,,,,,,
Social Conditions Catholics,18,,,,,,,,,,,
Social Conditions Censorship,1,,,,,,,,,,,
Social Conditions Charitable Corporation (London| England),1,,,,,,,,,,,
Social Conditions Charitable Fund (London| England),3,,,,,,,,,,,
Social Conditions Charitable uses| trusts| and foundations,1,,,,,,,,,,,
Social Conditions Charities,3,,,,,,,,,,,
Social Conditions Charity,7,,,,,,,,,,,
Social Conditions Charity-schools,16,,,,,,,,,,,
Social Conditions Charles,2,,,,,,,,,,,
Social Conditions Christian giving,1,,,,,,,,,,,
Social Conditions Christian life,1,,,,,,,,,,,
Social Conditions Christianity,1,,,,,,,,,,,
Social Conditions Christmas,1,,,,,,,,,,,
Social Conditions Church libraries,2,,,,,,,,,,,
Social Conditions Church maintenance and repair,2,,,,,,,,,,,
Social Conditions Church of England,4,,,,,,,,,,,
Social Conditions Cities and towns,2,,,,,,,,,,,
Social Conditions Civics,1,,,,,,,,,,,
Social Conditions Coach drivers,1,,,,,,,,,,,
Social Conditions Coffeehouses,3,,,,,,,,,,,
Social Conditions Colman| John,1,,,,,,,,,,,
Social Conditions Conduct of life,1,,,,,,,,,,,
Social Conditions Constables,3,,,,,,,,,,,
Social Conditions Cooperation,3,,,,,,,,,,,
Social Conditions Corporation for Relief of Poor Widows and Children of Clergy-men,2,,,,,,,,,,,
Social Conditions Crime prevention,1,,,,,,,,,,,
Social Conditions Criminal law,2,,,,,,,,,,,
Social Conditions Customary law,2,,,,,,,,,,,
Social Conditions Dangerfield| Thomas,1,,,,,,,,,,,
