Keyword, Count
Transport Worshipful Company of Carmen of London,1
Union of,1
Walter,1111
War of,97161301
War of the,2411
West,1
William,11127112118212131111311111
William Craven,1
William de la Pole,1
Worcester,1
addresses,1
and Company,3
and Servants (London,1
and do my prophets no harm),1
and foundations,11
and other inhabitants in the county of Wilts,1
clergy,1
documents,1
etc.,1113
free-holders,1
freeholders of the county of Dublin,1
from obliging the South-Sea Company to fix what capital stock they will give for the annuities,1
gentlemen,1
grand jury,1
justices of the peace,1
the Patriarch,1
trusts,11
vade-mecums,1
